other,Go4CS:GO Cup #60,2013-09-08,1193
other,RaidCall EMS One Spring 2013 Finals,2013-04-14,1102
other,EMS One Katowice Nordic Qualifier Cup #1,2014-01-12,1283
other,ESL UK Community Challenge S1 Cup #4,2014-05-27,1374
online,DreamHack Winter 2012 Danish Qual.,2012-11-11,1011
other,LanTrek 2014,2014-01-11,1284
online,MAXfps.no Open,2013-04-14,1103
other,Vox Play Battlegrounds,2014-06-08,1375
online,DreamHack Winter 2012 International Qual.,2012-11-15,1012
online,DreamHack Summer 2014 Closed Qualifier,2014-05-30,1376
other,EMS One Katowice CIS Qualifier Cup #1,2014-01-12,1285
other,ESL A-Series Summer 2013,2013-05-19,1104
online,FACEIT Cup August 2013,2013-09-10,1195
other,SLTV StarSeries IV,2012-12-23,1013
other,BirdieLAN 24,2014-05-30,1377
other,ESEA Invite Season 13 Global Finals,2013-04-21,1105
online,MSI Beat it! 2013 US Finals,2013-09-27,1196
other,EMS One Katowice Polish Qualifier Cup #1,2014-01-12,1286
online,DreamHack Winter 2012 Swedish Qual.,2012-11-14,1014
other,ESPORTSM 2013/2014 - Qualifier #8 Gothenburg,2014-05-31,1378
online,RaidCall EMS One Fall 2013 Cup #2,2013-09-12,1197
other,ESEA Invite Season 15 Global Finals,2014-01-20,1287
other,ESWC 2013 France Pre-Qual. #1,2013-09-12,1198
other,ESEA Invite Season 13 All-Star,2013-04-20,1107
online,ESL Pro Series Poland Season 8,2014-07-03,1379
other,EMS One Katowice German Qualifier Cup #1,2014-01-19,1288
other,ESWC 2013 France Pre-Qual. #2,2013-09-19,1199
other,Imbarena Game Ring Cup Final,2014-01-20,1289
other,Gaming.dk League by SteelSeries Season 6,2013-05-02,1108
other,ESL UK Community Challenge S1 Cup #5,2014-06-04,1381
other,CyberGamer Pro League Season 3,2014-03-23,1290
other,Swebus CS:GO Challenge by Inferno Online,2013-04-18,1109
online,RaidCall EMS One Fall 2013 Cup #3,2013-09-19,1200
online,THOR Open Qualifier #6,2012-11-20,1019
online,SLTV StarSeries V Relegation,2013-04-18,1110
other,Assembly Winter 2014,2014-02-01,1291
other,Gaming.dk League by SteelSeries Season 9 Finals,2014-06-07,1382
other,TECHLABS Cup Minsk 2013 EU Qualifier,2013-09-20,1201
online,RADEON Offensive #2,2013-04-21,1111
other,TNC CM Storm #1 Finals,2012-11-18,1020
other,TECHLABS Baltics Cup 2013,2013-09-20,1202
other,EMS One Katowice CIS Qualifier Cup #2,2014-01-23,1292
other,ASUS ROG Portugal Qualifier #3,2014-06-08,1383
other,ECL 2013 Season 1,2013-04-24,1112
online,European Championship 2013 Qualification Round 2,2013-09-26,1203
other,ESEA Intermediate Season 16 Europe,2014-06-10,1384
other,EMS One Katowice Polish Qualifier Cup #2,2014-01-23,1293
intl-lan,DreamHack Winter 2012,2012-11-24,1021
other,Swedish Championship 2012 LAN qual #2,2012-11-22,1022
other,FACEIT January Championship 2014,2014-01-24,1294
other,ESWC 2013 European Qualifier,2013-09-22,1204
other,ESL UK Community Challenge S1 Cup #6,2014-06-10,1385
other,MEO XLPARTY Exponor,2013-04-28,1114
other,DreamHack Winter 2012 BYOC,2012-11-23,1023
online,THOR Open Qualifier #7,2012-12-03,1024
other,ESPORTSM 2013/2014 Finals,2014-06-16,1387
other,SLTV ProSeries VI Qualifier,2013-04-28,1115
online,EMS One Katowice Nordic Qualifier Cup #2,2014-01-26,1296
other,TECHLABS Cup Minsk 2013 CIS Qualifier,2013-09-22,1206
other,DreamHack Summer 2014 BYOC,2014-06-15,1388
online,SLTV StarSeries VI Qualifier,2013-05-02,1116
online,EMS One Katowice French Qualifier Cup #2,2014-01-26,1297
other,AMD Sapphire CS:GO Invitational,2012-12-02,1025
online,CIS Rising League Season 1,2014-12-04,1389
other,CEVO Main Season 3,2014-01-31,1298
other,SteelSeries Finals,2012-12-01,1026
other,EMS One Katowice UK Qualifier Cup #2,2014-02-02,1299
other,ESEA Invite Season 16 Global Finals,2014-06-29,1390
other,Svecup Västerås Qualifier #1,2013-05-04,1118
other,THOR Open Qualifier #8,2012-12-02,1027
online,RaidCall EMS One Fall 2013 Cup #4,2013-09-25,1209
online,EMS One Katowice Polish Qualifier Cup #3,2014-02-01,1300
online,Team Dignitas CS:GO SCAN Invitational,2014-06-23,1392
other,TECHLABS Minsk Qualifier,2013-05-09,1120
online,EMS One Katowice German Qualifier Cup #2,2014-02-02,1301
other,TECHLABS Cup BY 2013,2013-09-28,1211
online,RADEON Offensive by 99Damage,2012-12-13,1029
other,ESWC 2013 Germany,2013-09-29,1212
other,G3 Qualifier #1,2014-06-23,1393
online,EMS One Katowice CIS Qualifier Cup #3,2014-02-06,1302
online,ESWC 2013 Denmark,2013-09-29,1213
other,Gaming.dk League by SteelSeries Season 6 Finals,2013-05-10,1122
other,THOR Open 2012,2012-12-09,1031
other,EMS One Katowice Nordic Regional Finals,2014-02-09,1303
other,ESL Pro Series Germany Summer 2014 Cup #2,2014-06-23,1394
other,The Blast 2013,2013-05-12,1123
other,EMS One Katowice French National Finals,2014-02-09,1304
other,Go4CS:GO Cup #63,2013-09-29,1215
other,Svecup Västerås Qualifier #2,2013-05-11,1124
other,EMS One Katowice CIS Qualifier Cup #4,2014-02-09,1305
other,ESEA Invite Season 13 Europe,2013-02-28,1033
online,SLTV StarSeries X,2014-08-12,1396
other,ESWC 2012 North America,2012-09-03,943
other,EMS One Katowice Polish Qualifier Cup #4,2014-02-09,1306
online,SLTV StarSeries VI,2013-06-25,1125
other,ESEA Invite Season 16 All-Star,2014-06-28,1397
other,NorthCon 2012,2012-12-16,1034
online,RaidCall EMS One Fall 2013 Decider,2013-09-30,1217
other,Go4CS:GO Cup #43,2013-05-12,1126
other,F3 Academy League,2014-06-28,1398
other,XLParty 2012,2012-12-16,1035
other,EMS One Katowice UK National Finals,2014-02-12,1308
other,IN League Season 2,2013-06-02,1127
