Date,Map,Team 1 ID,Team 1 Start Side,Team 1 Score,Team 1 Half 1 Score,Team 1 Half 2 Score,Team 1 Overtime Score,Team 2 ID,Team 2 Start Side,Team 2 Score,Team 2 Half 1 Score,Team 2 Half 2 Score,Team 2 Overtime Score,Match ID
10/7/14,Cache,4456,T,13,8,5,0,4501,CT,16,7,9,0,2293076/epsilon-vs-alternate-attax-hitbox-arena-championship-3
9/5/14,Season,5231,T,16,6,10,0,5095,CT,12,9,3,0,2292578/ibuypower-vs-reliable-esea-invite-season-17-north-america
7/10/15,Inferno,6045,CT,13,8,5,0,6195,T,16,7,9,0,2296939/ldlc-white-vs-qeeyou-eswc-2015
10/9/14,Cache,5378,CT,19,7,8,4,4501,T,17,8,7,2,2293101/virtuspro-vs-alternate-attax-hitbox-arena-championship-3
10/9/14,Mirage,5378,CT,14,10,4,0,4501,T,16,5,11,0,2293101/virtuspro-vs-alternate-attax-hitbox-arena-championship-3
10/9/14,Inferno,5378,CT,16,12,4,0,4501,T,4,3,1,0,2293101/virtuspro-vs-alternate-attax-hitbox-arena-championship-3
12/17/14,Dust2,5422,T,19,11,4,4,5919,CT,15,4,11,0,2293751/dignitas-vs-ber-n00bz-mlg-x-games-championship-qualifier-1-europe
12/17/14,Inferno,5422,T,16,14,2,0,5919,CT,3,1,2,0,2293751/dignitas-vs-ber-n00bz-mlg-x-games-championship-qualifier-1-europe
9/5/14,Season,5700,T,16,9,7,0,5095,CT,11,6,5,0,2292580/lunatik-vs-reliable-esea-invite-season-17-north-america
7/10/15,Mirage,6033,CT,16,12,4,0,5718,T,3,3,0,0,2296937/keyd-stars-vs-boreal-eswc-2015
10/10/14,Overpass,5422,T,16,11,5,0,5653,CT,4,4,0,0,2293106/dignitas-vs-mtw-hitbox-arena-championship-3
10/10/14,Dust2,5422,T,16,10,6,0,5653,CT,6,5,1,0,2293106/dignitas-vs-mtw-hitbox-arena-championship-3
12/17/14,Mirage,5378,T,16,12,4,0,5596,CT,8,3,5,0,2293752/virtuspro-vs-platinium-mlg-x-games-championship-qualifier-1-europe
12/17/14,Cobblestone,5378,T,16,10,6,0,5596,CT,5,5,0,0,2293752/virtuspro-vs-platinium-mlg-x-games-championship-qualifier-1-europe
